CHAPTER_TYPE,CHAPTER,SECTION,PARAGRAPH,DESCRIPT,BUDGET_YEAR
E,2,6,1,شراء الآليات,2023
E,2,7,1,مكافحة الحشرات,2023
E,2,8,1,لوازم التنظيفات,2023
E,2,9,1,المحروقات,2023
E,2,10,1,أجور النقل والانتقال,2023
E,2,11,1,أجور العمّال اليوميين,2023
E,2,12,1,بدلات استهلاك الكهرباء,2023
E,2,13,1,بدلات اشتراك المياه,2023
E,2,14,1,صيانة الطرق العامة,2023
E,2,15,1,صيانة شبكات المياه,2023
E,2,16,1,صيانة شبكات الإنارة العامة,2023
E,3,1,1,إنشاء المباني,2023
E,3,2,1,إنشاء شبكات الإنارة العامة,2023
E,3,3,1,إنشاء شبكات المياه,2023
E,3,4,1,إنشاء شبكات المجارير,2023
E,3,5,1,إنشاء الطرق العامة والأرصفة والأقنية,2023
E,3,6,1,إنشاء الحدائق,2023
E,3,7,1,إنشاء الملاعب والمسابح,2023
E,3,8,1,إنشاءات أخرى,2023
E,3,9,1,نفقات الدروس,2023
E,3,10,1,تعويضات الإستملاك,2023
E,3,11,1,شراء الأبنية,2023
E,3,12,1,شراء العقارات,2023
E,4,1,1,التخصيصات الصحية,2023
E,4,2,1,مساعدة المعوزين,2023
E,4,3,1,مساعدة الأوقاف الخيرية,2023
