PAY_TRANS_ID,DOCUMENT_SEQ,TRANSACTION_SEQ,TRANSACTION_DESC,BALADIEH_INT_ID,AMOUNT,ACCOUNT_TYPE,SUB_LEDGER_ID,FEE_TYPE,FEE_DETAIL,FEE_TYPE_ID,FEE_TYPE_DET,PAYMENT_TYPE,TRANS_TYPE,TRANS_NUM,LINE_NUM,CHECK_SEQ,CHECK_NUM,BANK_CODE,CHECK_PAYOR,CHECK_DATE,CHECK_SEQ_ACC
3169,1,2,قبض رسوم - بيان رقم 2005/566 إيصال رقم 6656,165,45000,CREDIT,870.0,DIRECT,FEE,1.0,1.0,,,,,,,,,,
3169,1,3,قبض رسوم - بيان رقم 2005/566 إيصال رقم 6656,165,59000,DEBIT,647.0,,,,,10.0,,,,,,,,,
3170,1,1,قبض رسوم - بيان رقم 2006/476 إيصال رقم 6656,165,14000,CREDIT,872.0,DIRECT,FEE,2.0,0.0,,,,,,,,,,
3170,1,2,قبض رسوم - بيان رقم 2006/476 إيصال رقم 6656,165,45000,CREDIT,870.0,DIRECT,FEE,1.0,1.0,,,,,,,,,,
3170,1,3,قبض رسوم - بيان رقم 2006/476 إيصال رقم 6656,165,59000,DEBIT,647.0,,,,,10.0,,,,,,,,,
3171,1,1,قبض رسوم - بيان رقم 2007/252 إيصال رقم 6656,165,14000,CREDIT,872.0,DIRECT,FEE,2.0,0.0,,,,,,,,,,
3390,1,1,قبض رسوم - بيان رقم 2007/1314 إيصال رقم 3943,165,300000,CREDIT,879.0,DIRECT,FEE,24.0,0.0,,,,,,,,,,
3390,1,2,قبض رسوم - بيان رقم 2007/1314 إيصال رقم 3943,165,300000,DEBIT,647.0,,,,,10.0,,,,,,,,,
3391,1,1,قبض رسوم - بيان رقم 2007/1316 إيصال رقم 3950,165,10000,CREDIT,901.0,DIRECT,FEE,26.0,0.0,,,,,,,,,,
3391,1,2,قبض رسوم - بيان رقم 2007/1316 إيصال رقم 3950,165,10000,DEBIT,647.0,,,,,10.0,,,,,,,,,
3392,1,1,قبض رسوم - بيان رقم 2007/1317 إيصال رقم 3951,165,10000,CREDIT,901.0,DIRECT,FEE,26.0,0.0,,,,,,,,,,
3392,1,2,قبض رسوم - بيان رقم 2007/1317 إيصال رقم 3951,165,10000,DEBIT,647.0,,,,,10.0,,,,,,,,,
3393,1,1,قبض رسوم - بيان رقم 2007/1318 إيصال رقم 3952,165,50000,CREDIT,884.0,DIRECT,FEE,27.0,0.0,,,,,,,,,,
3393,1,2,قبض رسوم - بيان رقم 2007/1318 إيصال رقم 3952,165,50000,DEBIT,647.0,,,,,10.0,,,,,,,,,
3394,1,1,قبض رسوم - بيان رقم 2007/1319 إيصال رقم 3953,165,360000,CREDIT,879.0,DIRECT,FEE,24.0,0.0,,,,,,,,,,
3394,1,2,قبض رسوم - بيان رقم 2007/1319 إيصال رقم 3953,165,360000,DEBIT,647.0,,,,,10.0,,,,,,,,,
3395,1,1,قبض رسوم - بيان رقم 2007/1320 إيصال رقم 3954,165,50000,CREDIT,884.0,DIRECT,FEE,27.0,0.0,,,,,,,,,,
3395,1,2,قبض رسوم - بيان رقم 2007/1320 إيصال رقم 3954,165,50000,DEBIT,647.0,,,,,10.0,,,,,,,,,
3396,1,1,قبض رسوم - بيان رقم 2007/1321 إيصال رقم 3955,165,25000,CREDIT,884.0,DIRECT,FEE,27.0,0.0,,,,,,,,,,
3396,1,2,قبض رسوم - بيان رقم 2007/1321 إيصال رقم 3955,165,25000,DEBIT,647.0,,,,,10.0,,,,,,,,,
3397,1,1,قبض رسوم - بيان رقم 2007/1322 إيصال رقم 3964,165,125000,CREDIT,884.0,DIRECT,FEE,27.0,0.0,,,,,,,,,,
3397,1,2,قبض رسوم - بيان رقم 2007/1322 إيصال رقم 3964,165,125000,DEBIT,647.0,,,,,10.0,,,,,,,,,
3398,1,1,قبض رسوم - بيان رقم 2007/1284 إيصال رقم 3965,165,12000,CREDIT,875.0,DIRECT,FEE,12.0,0.0,,,,,,,,,,
3398,1,2,قبض رسوم - بيان رقم 2007/1284 إيصال رقم 3965,165,288000,CREDIT,889.0,DIRECT,FEE,15.0,0.0,,,,,,,,,,
3398,1,3,قبض رسوم - بيان رقم 2007/1284 إيصال رقم 3965,165,30000,CREDIT,607.0,DIRECT,FEE,30.0,0.0,,,,,,,,,,
3398,1,4,قبض رسوم - بيان رقم 2007/1284 إيصال رقم 3965,165,330000,DEBIT,647.0,,,,,10.0,,,,,,,,,
3399,1,1,قبض رسوم - بيان رقم 2007/1323 إيصال رقم 3966,165,785000,CREDIT,880.0,DIRECT,FEE,5.0,0.0,,,,,,,,,,
3399,1,2,قبض رسوم - بيان رقم 2007/1323 إيصال رقم 3966,165,40000,CREDIT,881.0,DIRECT,FEE,6.0,0.0,,,,,,,,,,
3399,1,3,قبض رسوم - بيان رقم 2007/1323 إيصال رقم 3966,165,80000,CREDIT,882.0,DIRECT,FEE,7.0,0.0,,,,,,,,,,
3399,1,4,قبض رسوم - بيان رقم 2007/1323 إيصال رقم 3966,165,23000,CREDIT,885.0,DIRECT,FEE,9.0,0.0,,,,,,,,,,
3399,1,5,قبض رسوم - بيان رقم 2007/1323 إيصال رقم 3966,165,80000,CREDIT,607.0,DIRECT,FEE,30.0,0.0,,,,,,,,,,
3399,1,6,قبض رسوم - بيان رقم 2007/1323 إيصال رقم 3966,165,16000,CREDIT,602.0,DIRECT,FEE,31.0,0.0,,,,,,,,,,
3399,1,7,قبض رسوم - بيان رقم 2007/1323 إيصال رقم 3966,165,1024000,DEBIT,647.0,,,,,10.0,,,,,,,,,
3400,1,1,قبض رسوم - بيان رقم 2007/1324 إيصال رقم 3967,165,225000,CREDIT,890.0,DIRECT,FEE,18.0,0.0,,,,,,,,,,
3400,1,2,قبض رسوم - بيان رقم 2007/1324 إيصال رقم 3967,165,225000,DEBIT,647.0,,,,,10.0,,,,,,,,,
3208,1,1,قبض رسوم - بيان رقم 2007/919 إيصال رقم 6685,165,11000,CREDIT,872.0,DIRECT,FEE,2.0,0.0,,,,,,,,,,
3208,1,2,قبض رسوم - بيان رقم 2007/919 إيصال رقم 6685,165,35000,CREDIT,870.0,DIRECT,FEE,1.0,1.0,,,,,,,,,,
3208,1,3,قبض رسوم - بيان رقم 2007/919 إيصال رقم 6685,165,46000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2855,1,2,قبض رسوم - بيان رقم 2007/859 إيصال رقم 6408,165,35000,CREDIT,870.0,DIRECT,FEE,1.0,1.0,,,,,,,,,,
2855,1,3,قبض رسوم - بيان رقم 2007/859 إيصال رقم 6408,165,46000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2856,1,1,قبض رسوم - بيان رقم 2007/860 إيصال رقم 6409,165,11000,CREDIT,872.0,DIRECT,FEE,2.0,0.0,,,,,,,,,,
2856,1,2,قبض رسوم - بيان رقم 2007/860 إيصال رقم 6409,165,35000,CREDIT,870.0,DIRECT,FEE,1.0,1.0,,,,,,,,,,
2856,1,3,قبض رسوم - بيان رقم 2007/860 إيصال رقم 6409,165,46000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2857,1,1,قبض رسوم - بيان رقم 2007/961 إيصال رقم 6410,165,14000,CREDIT,872.0,DIRECT,FEE,2.0,0.0,,,,,,,,,,
2857,1,2,قبض رسوم - بيان رقم 2007/961 إيصال رقم 6410,165,45000,CREDIT,870.0,DIRECT,FEE,1.0,1.0,,,,,,,,,,
2857,1,3,قبض رسوم - بيان رقم 2007/961 إيصال رقم 6410,165,59000,DEBIT,647.0,,,,,10.0,,,,,,,,,
3214,1,1,قبض رسوم - بيان رقم 2006/814 إيصال رقم 6690,165,17000,CREDIT,872.0,DIRECT,FEE,2.0,0.0,,,,,,,,,,
2524,1,2,قبض رسوم - بيان رقم 2007/91 إيصال رقم 3753,165,25000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2525,1,1,قبض رسوم - بيان رقم 2007/92 إيصال رقم 3754,165,25000,CREDIT,901.0,DIRECT,FEE,26.0,0.0,,,,,,,,,,
2525,1,2,قبض رسوم - بيان رقم 2007/92 إيصال رقم 3754,165,25000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2526,1,1,قبض رسوم - بيان رقم 2007/93 إيصال رقم 3755,165,25000,CREDIT,901.0,DIRECT,FEE,26.0,0.0,,,,,,,,,,
2526,1,2,قبض رسوم - بيان رقم 2007/93 إيصال رقم 3755,165,25000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2527,1,1,قبض رسوم - بيان رقم 2007/94 إيصال رقم 3756,165,25000,CREDIT,901.0,DIRECT,FEE,26.0,0.0,,,,,,,,,,
2527,1,2,قبض رسوم - بيان رقم 2007/94 إيصال رقم 3756,165,25000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2528,1,1,قبض رسوم - بيان رقم 2007/95 إيصال رقم 3757,165,25000,CREDIT,901.0,DIRECT,FEE,26.0,0.0,,,,,,,,,,
2528,1,2,قبض رسوم - بيان رقم 2007/95 إيصال رقم 3757,165,25000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2529,1,1,قبض رسوم - بيان رقم 2007/96 إيصال رقم 3758,165,225000,CREDIT,890.0,DIRECT,FEE,18.0,0.0,,,,,,,,,,
2529,1,2,قبض رسوم - بيان رقم 2007/96 إيصال رقم 3758,165,225000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2530,1,1,قبض رسوم - بيان رقم 2007/97 إيصال رقم 3759,165,50000,CREDIT,890.0,DIRECT,FEE,18.0,0.0,,,,,,,,,,
2530,1,2,قبض رسوم - بيان رقم 2007/97 إيصال رقم 3759,165,50000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2531,1,1,قبض رسوم - بيان رقم 2007/98 إيصال رقم 3760,165,100000,CREDIT,890.0,DIRECT,FEE,18.0,0.0,,,,,,,,,,
2531,1,2,قبض رسوم - بيان رقم 2007/98 إيصال رقم 3760,165,100000,DEBIT,647.0,,,,,10.0,,,,,,,,,
