CHAPTER_TYPE,CHAPTER,SECTION,DESCRIPT,BUDGET_YEAR
E,4,11,مساعدة الهيئات التي لا تتوخّى الربح,2026
E,4,12,مساهمات إلى القطاع العام,2026
E,5,1,الاستقبالات,2026
E,5,2,الاحتفالات والمهرجانات,2026
E,5,4,المساهمة في موازنة اتحاد البلديات,2026
E,5,5,رديات,2026
E,5,6,نفقات التأمين,2026
E,5,7,إيفاء القروض,2026
E,5,9,المصاريف الأخرى غير الملحوظة,2026
E,6,1,احتياط الموازنة,2026
I,1,1,رسم على القيمة التأجيرية (سكن),2026
I,1,2,رسم على القيمة التأجيرية (غير سكن),2026
I,1,3,رسم صيانة المجارير والأرصفة,2026
I,1,6,رسم الترخيص للإعلان الدائم والمؤقت,2026
I,1,9,رسم الترخيص للمؤسسات المصنفة,2026
I,1,10,رسم الترخيص باحتراف المهن بالتجول,2026
I,1,11,رسم الترخيص بالبناء,2026
I,1,13,رسم إنفاق في وجوه محددة,2026
I,1,14,رسم تصوينة,2026
I,1,15,رسم الترميم,2026
I,1,16,رسم إنشاء مجارير وأرصفة,2026
I,1,17,رسم المرآب,2026
I,1,19,رسم الإستثمار للإعلان الدائم,2026
I,1,20,رسم الإستثمار للإعلان المؤقت,2026
I,1,25,رسم إستثمار اسبوعي للإعلان خارج دور السينما,2026
I,1,26,الرسم النسبي على المزايدات,2026
I,1,30,رسوم الدخول إلى الأماكن الأثرية والسياحية,2026
I,1,31,رسم تسجيل عقود الإيجار,2026
I,1,33,واردات ناتجة عن أشغال لحساب الغير,2026
I,1,35,رسوم وغرامات تسوية مخالفات البناء,2026
I,1,36,واردات مباشرة غير ملحوظة,2026
I,1,37,غرامات الاعمال غير المنفذة من البناء,2026
I,1,38,رسم المرآب السنوي على المؤسسات السياحية,2026
I,2,1,علاوة على ضريبة الأملاك المبنية النسبية,2026
I,2,2,حصة البلديات من المؤسسة العامة للاسكان,2026
I,2,7,ضريبة التحسين,2026
I,2,8,عائدات أخرى,2026
I,3,1,الحصة العائدة لدعم الموازنة,2026
I,3,2,الحصة المخصصة لدعم مشاريع التنمية,2026
I,4,1,المساعدات,2026
I,4,2,الفوائد,2026
I,4,3,القروض,2026
I,4,4,الهبات والوصايا,2026
I,4,5,الغرامات,2026
I,4,6,حاصلات الأملاك المبنية والمشاعات,2026
I,4,7,النقد المدور,2026
I,4,9,سائر العائدات غير الملحوظة,2026
E,1,1,تعويضات الرئاسة,2027
E,1,2,رواتب الموظفين,2027
E,1,3,بدلات التعاقد,2027
E,1,4,أجور الأجراء,2027
E,1,5,عائدات الجباية والغرامة,2027
E,1,6,المكافآت والتعويضات والتقديمات المختلفة,2027
E,1,7,اللوازم,2027
